tripId (S),currentStopId (S),currentStopStatus (S),direction (S),futureStops (S),routeId (S),startDate (S),timestamp (N),vehicleTimeStamp (S)
064100_3..N01X019,None,None,N,"OrderedDict([(u'250N', [0, 1487605260L]), (u'249N', [1487605380L, 1487605380L]), (u'248N', [1487605470L, 1487605470L]), (u'239N', [1487605560L, 1487605560L]), (u'238N', [1487605650L, 1487605650L]), (u'237N', [1487605770L, 1487605770L]), (u'236N', [1487605890L, 1487605890L]), (u'235N', [1487605950L, 1487605950L]), (u'234N', [1487606040L, 1487606040L]), (u'233N', [1487606130L, 1487606130L]), (u'232N', [1487606220L, 1487606220L]), (u'231N', [1487606310L, 1487606310L]), (u'230N', [1487606490L, 1487606490L]), (u'229N', [1487606550L, 1487606550L]), (u'228N', [1487606700L, 1487606700L]), (u'137N', [1487606760L, 1487606760L]), (u'136N', [1487606820L, 1487606820L]), (u'135N', [1487606880L, 1487606880L]), (u'134N', [1487606970L, 1487606970L]), (u'133N', [1487607060L, 1487607060L]), (u'132N', [1487607150L, 1487607150L]), (u'131N', [1487607210L, 1487607210L]), (u'130N', [1487607270L, 1487607270L]), (u'129N', [1487607360L, 1487607360L]), (u'128N', [1487607420L, 1487607420L]), (u'127N', [1487607540L, 1487607540L]), (u'123N', [1487607780L, 1487607780L]), (u'120N', [1487607960L, 1487607960L]), (u'227N', [1487608200L, 1487608200L]), (u'226N', [1487608260L, 1487608260L]), (u'225N', [1487608350L, 1487608350L]), (u'224N', [1487608440L, 1487608440L]), (u'302N', [1487608560L, 1487608560L]), (u'301N', [1487608680L, 0])])",3,20170220,1487605044,None
065250_4..S06R,None,None,S,"OrderedDict([(u'401S', [0, 1487605950L]), (u'402S', [1487606070L, 1487606070L]), (u'405S', [1487606160L, 1487606160L]), (u'406S', [1487606280L, 1487606280L]), (u'407S', [1487606340L, 1487606340L]), (u'408S', [1487606400L, 1487606400L]), (u'409S', [1487606490L, 1487606490L]), (u'410S', [1487606580L, 1487606580L]), (u'411S', [1487606640L, 1487606640L]), (u'412S', [1487606730L, 1487606730L]), (u'413S', [1487606820L, 1487606820L]), (u'414S', [1487606940L, 1487606940L]), (u'415S', [1487607090L, 1487607090L]), (u'416S', [1487607180L, 1487607180L]), (u'621S', [1487607330L, 1487607450L]), (u'626S', [1487607720L, 1487607720L]), (u'629S', [1487607960L, 1487607960L]), (u'631S', [1487608110L, 1487608110L]), (u'635S', [1487608350L, 1487608350L]), (u'640S', [1487608620L, 1487608620L]), (u'418S', [1487608710L, 1487608710L]), (u'419S', [1487608800L, 1487608800L]), (u'420S', [1487608860L, 1487608860L]), (u'423S', [1487609160L, 1487609160L]), (u'234S', [1487609280L, 1487609280L]), (u'235S', [1487609370L, 1487609370L]), (u'239S', [1487609610L, 1487609610L]), (u'250S', [1487609820L, 0])])",4,20170220,1487605044,None
058100_3..N01X019,227N,2,N,"OrderedDict([(u'227N', [1487605096L, 1487605096L]), (u'226N', [1487605156L, 1487605156L]), (u'225N', [1487605246L, 1487605246L]), (u'224N', [1487605336L, 1487605336L]), (u'302N', [1487605456L, 1487605456L]), (u'301N', [1487605576L, 0])])",3,20170220,1487605044,1487605042
061000_1..S03X003,132S,1,S,"OrderedDict([(u'132S', [1487605008L, 0])])",1,20170220,1487605044,1487605008
062000_3..S01X017,127S,2,S,"OrderedDict([(u'127S', [1487605230L, 1487605230L]), (u'128S', [1487605350L, 1487605350L]), (u'129S', [1487605410L, 1487605410L]), (u'130S', [1487605500L, 1487605500L]), (u'131S', [1487605560L, 1487605560L]), (u'132S', [1487605620L, 1487605620L]), (u'133S', [1487605710L, 1487605710L]), (u'134S', [1487605800L, 1487605800L]), (u'135S', [1487605890L, 1487605890L]), (u'136S', [1487605950L, 1487605950L]), (u'137S', [1487606010L, 1487606010L]), (u'228S', [1487606070L, 1487606070L]), (u'229S', [1487606220L, 1487606220L]), (u'230S', [1487606280L, 1487606280L]), (u'231S', [1487606550L, 1487606550L]), (u'232S', [1487606610L, 1487606610L]), (u'233S', [1487606700L, 1487606700L]), (u'234S', [1487606760L, 1487606760L]), (u'235S', [1487606850L, 1487606850L]), (u'236S', [1487606910L, 1487606910L]), (u'237S', [1487607030L, 1487607030L]), (u'238S', [1487607120L, 1487607120L]), (u'239S', [1487607210L, 1487607210L]), (u'248S', [1487607300L, 1487607300L]), (u'249S', [1487607390L, 1487607390L]), (u'250S', [1487607510L, 0])])",3,20170220,1487605044,1487605010
064550_6..N01R,None,None,N,"OrderedDict([(u'640N', [0, 1487605530L]), (u'639N', [1487605650L, 1487605650L]), (u'638N', [1487605740L, 1487605740L]), (u'637N', [1487605800L, 1487605800L]), (u'636N', [1487605890L, 1487605890L]), (u'635N', [1487605980L, 1487605980L]), (u'634N', [1487606100L, 1487606100L]), (u'633N', [1487606160L, 1487606160L]), (u'632N', [1487606220L, 1487606220L]), (u'631N', [1487606340L, 1487606340L]), (u'630N', [1487606460L, 1487606460L]), (u'629N', [1487606550L, 1487606550L]), (u'628N', [1487606640L, 1487606640L]), (u'627N', [1487606760L, 1487606760L]), (u'626N', [1487606850L, 1487606850L]), (u'625N', [1487606970L, 1487606970L]), (u'624N', [1487607060L, 1487607060L]), (u'623N', [1487607120L, 1487607120L]), (u'622N', [1487607210L, 1487607210L]), (u'621N', [1487607300L, 1487607300L]), (u'619N', [1487607480L, 1487607480L]), (u'618N', [1487607570L, 1487607570L]), (u'617N', [1487607630L, 1487607630L]), (u'616N', [1487607750L, 1487607750L]), (u'615N', [1487607840L, 1487607840L]), (u'614N', [1487607930L, 1487607930L]), (u'613N', [1487608050L, 1487608050L]), (u'612N', [1487608140L, 1487608140L]), (u'611N', [1487608260L, 1487608260L]), (u'610N', [1487608320L, 1487608320L]), (u'609N', [1487608380L, 1487608380L]), (u'608N', [1487608470L, 1487608470L]), (u'607N', [1487608560L, 1487608560L]), (u'606N', [1487608620L, 1487608620L]), (u'604N', [1487608680L, 1487608680L]), (u'603N', [1487608770L, 1487608770L]), (u'602N', [1487608860L, 1487608860L]), (u'601N', [1487609010L, 0])])",6,20170220,1487605044,None
066100_5..N75R,None,None,N,"OrderedDict([(u'420N', [0, 1487606460L]), (u'419N', [1487606520L, 1487606520L]), (u'418N', [1487606610L, 1487606610L]), (u'640N', [1487606700L, 1487606700L]), (u'635N', [1487606970L, 1487606970L]), (u'631N', [1487607210L, 1487607210L]), (u'629N', [1487607330L, 1487607330L]), (u'626N', [1487607540L, 1487607540L]), (u'621N', [1487607840L, 1487607840L]), (u'416N', [1487607990L, 1487607990L]), (u'222N', [1487608140L, 1487608140L]), (u'221N', [1487608260L, 1487608260L]), (u'220N', [1487608380L, 1487608380L]), (u'219N', [1487608470L, 1487608470L]), (u'218N', [1487608530L, 1487608530L]), (u'217N', [1487608590L, 1487608590L]), (u'216N', [1487608680L, 1487608680L]), (u'215N', [1487608800L, 1487608800L]), (u'214N', [1487608920L, 1487608920L]), (u'213N', [1487609010L, 1487609010L]), (u'505N', [1487609220L, 1487609220L]), (u'504N', [1487609280L, 1487609280L]), (u'503N', [1487609430L, 1487609430L]), (u'502N', [1487609580L, 1487609760L]), (u'501N', [1487609910L, 0])])",5,20170220,1487605044,None
062500_1..S03X003,122S,0,S,"OrderedDict([(u'122S', [1487605075L, 1487605075L]), (u'123S', [1487605165L, 1487605165L]), (u'124S', [1487605255L, 1487605255L]), (u'125S', [1487605345L, 1487605345L]), (u'126S', [1487605465L, 1487605465L]), (u'127S', [1487605555L, 1487605555L]), (u'128S', [1487605735L, 1487605735L]), (u'132S', [1487605975L, 0])])",1,20170220,1487605044,1487605015
064450_4..S06R,None,None,S,"OrderedDict([(u'401S', [0, 1487605470L]), (u'402S', [1487605590L, 1487605590L]), (u'405S', [1487605680L, 1487605680L]), (u'406S', [1487605800L, 1487605800L]), (u'407S', [1487605860L, 1487605860L]), (u'408S', [1487605920L, 1487605920L]), (u'409S', [1487606010L, 1487606010L]), (u'410S', [1487606100L, 1487606100L]), (u'411S', [1487606160L, 1487606160L]), (u'412S', [1487606250L, 1487606250L]), (u'413S', [1487606340L, 1487606340L]), (u'414S', [1487606460L, 1487606460L]), (u'415S', [1487606610L, 1487606610L]), (u'416S', [1487606700L, 1487606700L]), (u'621S', [1487606850L, 1487606850L]), (u'626S', [1487607120L, 1487607120L]), (u'629S', [1487607360L, 1487607360L]), (u'631S', [1487607510L, 1487607510L]), (u'635S', [1487607750L, 1487607750L]), (u'640S', [1487608020L, 1487608020L]), (u'418S', [1487608110L, 1487608110L]), (u'419S', [1487608200L, 1487608200L]), (u'420S', [1487608260L, 1487608260L]), (u'423S', [1487608560L, 1487608560L]), (u'234S', [1487608680L, 1487608680L]), (u'235S', [1487608770L, 1487608770L]), (u'239S', [1487609010L, 1487609010L]), (u'250S', [1487609220L, 0])])",4,20170220,1487605044,None
062400_1..N03X003,123N,1,N,"OrderedDict([(u'123N', [1487605069L, 1487605069L]), (u'122N', [1487605189L, 1487605189L]), (u'121N', [1487605249L, 1487605249L]), (u'120N', [1487605369L, 1487605369L]), (u'119N', [1487605459L, 1487605459L]), (u'118N', [1487605549L, 1487605549L]), (u'117N', [1487605609L, 1487605609L]), (u'116N', [1487605759L, 1487605759L]), (u'115N', [1487605879L, 0])])",1,20170220,1487605044,1487605039
