tripId (S),currentStopId (S),currentStopStatus (S),direction (S),futureStops (S),routeId (S),startDate (S),timestamp (N),vehicleTimeStamp (S)
063600_4..N06R,239N,2,N,"OrderedDict([(u'239N', [1487605166L, 1487605166L]), (u'235N', [1487605406L, 1487605406L]), (u'234N', [1487605496L, 1487605616L]), (u'423N', [1487605706L, 1487605706L]), (u'420N', [1487606006L, 1487606006L]), (u'419N', [1487606066L, 1487606066L]), (u'418N', [1487606156L, 1487606156L]), (u'640N', [1487606246L, 1487606246L]), (u'635N', [1487606516L, 1487606516L]), (u'631N', [1487606756L, 1487606756L]), (u'629N', [1487606876L, 1487606876L]), (u'626N', [1487607086L, 1487607086L]), (u'621N', [1487607386L, 1487607386L]), (u'416N', [1487607536L, 1487607536L]), (u'415N', [1487607656L, 1487607656L]), (u'414N', [1487607806L, 1487607806L]), (u'413N', [1487607926L, 1487607926L]), (u'412N', [1487608016L, 1487608016L]), (u'411N', [1487608106L, 1487608106L]), (u'410N', [1487608166L, 1487608166L]), (u'409N', [1487608256L, 1487608256L]), (u'408N', [1487608346L, 1487608346L]), (u'407N', [1487608406L, 1487608406L]), (u'406N', [1487608466L, 1487608466L]), (u'405N', [1487608586L, 1487608586L]), (u'402N', [1487608676L, 1487608676L]), (u'401N', [1487608796L, 0])])",4,20170220,1487605044,1487605038
060400_4..N06R,626N,2,N,"OrderedDict([(u'626N', [1487605198L, 1487605198L]), (u'621N', [1487605498L, 1487605498L]), (u'416N', [1487605648L, 1487605648L]), (u'415N', [1487605768L, 1487605768L]), (u'414N', [1487605918L, 1487605918L]), (u'413N', [1487606038L, 1487606038L]), (u'412N', [1487606128L, 1487606128L]), (u'411N', [1487606218L, 1487606218L]), (u'410N', [1487606278L, 1487606278L]), (u'409N', [1487606368L, 1487606368L]), (u'408N', [1487606458L, 1487606458L]), (u'407N', [1487606518L, 1487606518L]), (u'406N', [1487606578L, 1487606578L]), (u'405N', [1487606698L, 1487606698L]), (u'402N', [1487606788L, 1487606788L]), (u'401N', [1487606908L, 0])])",4,20170220,1487605044,1487605022
062150_6..S01R,612S,0,S,"OrderedDict([(u'612S', [1487605115L, 1487605115L]), (u'613S', [1487605235L, 1487605235L]), (u'614S', [1487605325L, 1487605325L]), (u'615S', [1487605445L, 1487605445L]), (u'616S', [1487605505L, 1487605505L]), (u'617S', [1487605625L, 1487605625L]), (u'618S', [1487605685L, 1487605685L]), (u'619S', [1487605775L, 1487605775L]), (u'621S', [1487605955L, 1487605955L]), (u'622S', [1487606045L, 1487606045L]), (u'623S', [1487606135L, 1487606135L]), (u'624S', [1487606195L, 1487606195L]), (u'625S', [1487606285L, 1487606285L]), (u'626S', [1487606405L, 1487606405L]), (u'627S', [1487606525L, 1487606525L]), (u'628S', [1487606645L, 1487606645L]), (u'629S', [1487606735L, 1487606735L]), (u'630S', [1487606855L, 1487606855L]), (u'631S', [1487606975L, 1487606975L]), (u'632S', [1487607095L, 1487607095L]), (u'633S', [1487607155L, 1487607155L]), (u'634S', [1487607215L, 1487607215L]), (u'635S', [1487607335L, 1487607335L]), (u'636S', [1487607395L, 1487607395L]), (u'637S', [1487607485L, 1487607485L]), (u'638S', [1487607545L, 1487607545L]), (u'639S', [1487607635L, 1487607635L]), (u'640S', [1487607755L, 0])])",6,20170220,1487605044,1487605039
062000_4..N06R,420N,2,N,"OrderedDict([(u'420N', [1487605070L, 1487605070L]), (u'419N', [1487605130L, 1487605130L]), (u'418N', [1487605220L, 1487605220L]), (u'640N', [1487605310L, 1487605310L]), (u'635N', [1487605580L, 1487605580L]), (u'631N', [1487605820L, 1487605820L]), (u'629N', [1487605940L, 1487605940L]), (u'626N', [1487606150L, 1487606150L]), (u'621N', [1487606450L, 1487606450L]), (u'416N', [1487606600L, 1487606600L]), (u'415N', [1487606720L, 1487606720L]), (u'414N', [1487606870L, 1487606870L]), (u'413N', [1487606990L, 1487606990L]), (u'412N', [1487607080L, 1487607080L]), (u'411N', [1487607170L, 1487607170L]), (u'410N', [1487607230L, 1487607230L]), (u'409N', [1487607320L, 1487607320L]), (u'408N', [1487607410L, 1487607410L]), (u'407N', [1487607470L, 1487607470L]), (u'406N', [1487607530L, 1487607530L]), (u'405N', [1487607650L, 1487607650L]), (u'402N', [1487607740L, 1487607740L]), (u'401N', [1487607860L, 0])])",4,20170220,1487605044,1487604958
060800_3..S01X017,133S,1,S,"OrderedDict([(u'133S', [1487605055L, 1487605055L]), (u'134S', [1487605145L, 1487605145L]), (u'135S', [1487605235L, 1487605235L]), (u'136S', [1487605295L, 1487605295L]), (u'137S', [1487605355L, 1487605355L]), (u'228S', [1487605415L, 1487605415L]), (u'229S', [1487605565L, 1487605565L]), (u'230S', [1487605625L, 1487605625L]), (u'231S', [1487605895L, 1487605895L]), (u'232S', [1487605955L, 1487605955L]), (u'233S', [1487606045L, 1487606045L]), (u'234S', [1487606105L, 1487606105L]), (u'235S', [1487606195L, 1487606195L]), (u'236S', [1487606255L, 1487606255L]), (u'237S', [1487606375L, 1487606375L]), (u'238S', [1487606465L, 1487606465L]), (u'239S', [1487606555L, 1487606555L]), (u'248S', [1487606645L, 1487606645L]), (u'249S', [1487606735L, 1487606735L]), (u'250S', [1487606855L, 0])])",3,20170220,1487605044,1487605025
066800_3..S01X017,None,None,S,"OrderedDict([(u'301S', [0, 1487606880L]), (u'302S', [1487606970L, 1487606970L]), (u'224S', [1487607090L, 1487607090L]), (u'225S', [1487607180L, 1487607180L]), (u'226S', [1487607270L, 1487607270L]), (u'227S', [1487607330L, 1487607330L]), (u'120S', [1487607600L, 1487607600L]), (u'123S', [1487607750L, 1487607750L]), (u'127S', [1487608020L, 1487608020L]), (u'128S', [1487608140L, 1487608140L]), (u'129S', [1487608200L, 1487608200L]), (u'130S', [1487608290L, 1487608290L]), (u'131S', [1487608350L, 1487608350L]), (u'132S', [1487608410L, 1487608410L]), (u'133S', [1487608500L, 1487608500L]), (u'134S', [1487608590L, 1487608590L]), (u'135S', [1487608680L, 1487608680L]), (u'136S', [1487608740L, 1487608740L]), (u'137S', [1487608800L, 1487608800L]), (u'228S', [1487608860L, 1487608860L]), (u'229S', [1487609010L, 1487609010L]), (u'230S', [1487609070L, 1487609070L]), (u'231S', [1487609340L, 1487609340L]), (u'232S', [1487609400L, 1487609400L]), (u'233S', [1487609490L, 1487609490L]), (u'234S', [1487609550L, 1487609550L]), (u'235S', [1487609640L, 1487609640L]), (u'236S', [1487609700L, 1487609700L]), (u'237S', [1487609820L, 1487609820L]), (u'238S', [1487609910L, 1487609910L]), (u'239S', [1487610000L, 1487610000L]), (u'248S', [1487610090L, 1487610090L]), (u'249S', [1487610180L, 1487610180L]), (u'250S', [1487610300L, 0])])",3,20170220,1487605044,None
053550_2..N01X009,205N,1,N,"OrderedDict([(u'205N', [1487605037L, 1487605037L]), (u'204N', [1487605127L, 1487605427L]), (u'201N', [1487605547L, 0])])",2,20170220,1487605044,1487605007
062050_4..S06R,414S,2,S,"OrderedDict([(u'414S', [1487605144L, 1487605144L]), (u'415S', [1487605294L, 1487605294L]), (u'416S', [1487605384L, 1487605384L]), (u'621S', [1487605534L, 1487605534L]), (u'626S', [1487605804L, 1487605804L]), (u'629S', [1487606044L, 1487606044L]), (u'631S', [1487606194L, 1487606194L]), (u'635S', [1487606434L, 1487606434L]), (u'640S', [1487606704L, 1487606704L]), (u'418S', [1487606794L, 1487606794L]), (u'419S', [1487606884L, 1487606884L]), (u'420S', [1487606944L, 1487606944L]), (u'423S', [1487607244L, 1487607244L]), (u'234S', [1487607364L, 1487607364L]), (u'235S', [1487607454L, 1487607454L]), (u'239S', [1487607694L, 1487607694L]), (u'250S', [1487607904L, 0])])",4,20170220,1487605044,1487605033
058900_5..N75R,213N,2,N,"OrderedDict([(u'213N', [1487605114L, 1487605114L]), (u'505N', [1487605324L, 1487605324L]), (u'504N', [1487605384L, 1487605384L]), (u'503N', [1487605534L, 1487605534L]), (u'502N', [1487605684L, 1487605864L]), (u'501N', [1487606014L, 0])])",5,20170220,1487605044,1487605035
059600_3..S01X017,229S,2,S,"OrderedDict([(u'229S', [1487605177L, 1487605177L]), (u'230S', [1487605237L, 1487605237L]), (u'231S', [1487605507L, 1487605507L]), (u'232S', [1487605567L, 1487605567L]), (u'233S', [1487605657L, 1487605657L]), (u'234S', [1487605717L, 1487605717L]), (u'235S', [1487605807L, 1487605807L]), (u'236S', [1487605867L, 1487605867L]), (u'237S', [1487605987L, 1487605987L]), (u'238S', [1487606077L, 1487606077L]), (u'239S', [1487606167L, 1487606167L]), (u'248S', [1487606257L, 1487606257L]), (u'249S', [1487606347L, 1487606347L]), (u'250S', [1487606467L, 0])])",3,20170220,1487605044,1487605040
058050_4..S06R,235S,2,S,"OrderedDict([(u'235S', [1487605113L, 1487605113L]), (u'239S', [1487605353L, 1487605353L]), (u'250S', [1487605563L, 0])])",4,20170220,1487605044,1487605034
060900_2..S01X015,220S,0,S,"OrderedDict([(u'220S', [1487605081L, 1487605081L]), (u'221S', [1487605201L, 1487605201L]), (u'222S', [1487605321L, 1487605321L]), (u'224S', [1487605501L, 1487605501L]), (u'225S', [1487605591L, 1487605591L]), (u'226S', [1487605681L, 1487605681L]), (u'227S', [1487605741L, 1487605741L]), (u'120S', [1487606011L, 1487606011L]), (u'123S', [1487606161L, 1487606161L]), (u'127S', [1487606431L, 1487606431L]), (u'128S', [1487606551L, 1487606551L]), (u'129S', [1487606611L, 1487606611L]), (u'130S', [1487606671L, 1487606671L]), (u'131S', [1487606731L, 1487606731L]), (u'132S', [1487606791L, 1487606791L]), (u'133S', [1487606881L, 1487606881L]), (u'134S', [1487606971L, 1487606971L]), (u'135S', [1487607061L, 1487607061L]), (u'136S', [1487607121L, 1487607121L]), (u'137S', [1487607211L, 1487607211L]), (u'228S', [1487607271L, 1487607271L]), (u'229S', [1487607421L, 1487607421L]), (u'230S', [1487607481L, 1487607481L]), (u'231S', [1487607751L, 1487607751L]), (u'232S', [1487607811L, 1487607811L]), (u'233S', [1487607901L, 1487607901L]), (u'234S', [1487607961L, 1487607961L]), (u'235S', [1487608051L, 1487608051L]), (u'236S', [1487608111L, 1487608111L]), (u'237S', [1487608231L, 1487608231L]), (u'238S', [1487608321L, 1487608321L]), (u'239S', [1487608411L, 1487608411L]), (u'241S', [1487608591L, 1487608591L]), (u'242S', [1487608651L, 1487608651L]), (u'243S', [1487608741L, 1487608741L]), (u'244S', [1487608831L, 1487609131L]), (u'245S', [1487609221L, 1487609221L]), (u'246S', [1487609311L, 1487609311L]), (u'247S', [1487609431L, 0])])",2,20170220,1487605044,1487605041
060100_5..N75R,216N,2,N,"OrderedDict([(u'216N', [1487605117L, 1487605117L]), (u'215N', [1487605237L, 1487605237L]), (u'214N', [1487605357L, 1487605357L]), (u'213N', [1487605447L, 1487605447L]), (u'505N', [1487605657L, 1487605657L]), (u'504N', [1487605717L, 1487605717L]), (u'503N', [1487605867L, 1487605867L]), (u'502N', [1487606017L, 1487606197L]), (u'501N', [1487606347L, 0])])",5,20170220,1487605044,1487605041
058350_2..N01X009,120N,2,N,"OrderedDict([(u'120N', [1487605191L, 1487605191L]), (u'227N', [1487605431L, 1487605431L]), (u'226N', [1487605491L, 1487605491L]), (u'225N', [1487605581L, 1487605581L]), (u'224N', [1487605671L, 1487605671L]), (u'222N', [1487605851L, 1487605851L]), (u'221N', [1487605971L, 1487605971L]), (u'220N', [1487606091L, 1487606091L]), (u'219N', [1487606181L, 1487606181L]), (u'218N', [1487606241L, 1487606241L]), (u'217N', [1487606301L, 1487606301L]), (u'216N', [1487606391L, 1487606391L]), (u'215N', [1487606511L, 1487606511L]), (u'214N', [1487606631L, 1487606631L]), (u'213N', [1487606721L, 1487606721L]), (u'212N', [1487606841L, 1487606841L]), (u'211N', [1487606961L, 1487606961L]), (u'210N', [1487607081L, 1487607081L]), (u'209N', [1487607141L, 1487607141L]), (u'208N', [1487607231L, 1487607231L]), (u'207N', [1487607321L, 1487607321L]), (u'206N', [1487607411L, 1487607411L]), (u'205N', [1487607471L, 1487607471L]), (u'204N', [1487607561L, 1487607861L]), (u'201N', [1487607981L, 0])])",2,20170220,1487605044,1487605033
057600_2..S01X015,129S,1,S,"OrderedDict([(u'129S', [1487605056L, 1487605056L]), (u'130S', [1487605116L, 1487605116L]), (u'131S', [1487605176L, 1487605176L]), (u'132S', [1487605236L, 1487605236L]), (u'133S', [1487605326L, 1487605326L]), (u'134S', [1487605416L, 1487605416L]), (u'135S', [1487605506L, 1487605506L]), (u'136S', [1487605566L, 1487605566L]), (u'137S', [1487605656L, 1487605656L]), (u'228S', [1487605716L, 1487605716L]), (u'229S', [1487605866L, 1487605866L]), (u'230S', [1487605926L, 1487605926L]), (u'231S', [1487606196L, 1487606196L]), (u'232S', [1487606256L, 1487606256L]), (u'233S', [1487606346L, 1487606346L]), (u'234S', [1487606406L, 1487606406L]), (u'235S', [1487606496L, 1487606496L]), (u'236S', [1487606556L, 1487606556L]), (u'237S', [1487606676L, 1487606676L]), (u'238S', [1487606766L, 1487606766L]), (u'239S', [1487606856L, 1487606856L]), (u'241S', [1487607036L, 1487607036L]), (u'242S', [1487607096L, 1487607096L]), (u'243S', [1487607186L, 1487607186L]), (u'244S', [1487607276L, 1487607576L]), (u'245S', [1487607666L, 1487607666L]), (u'246S', [1487607756L, 1487607756L]), (u'247S', [1487607876L, 0])])",2,20170220,1487605044,1487605026
059350_2..N01X009,129N,0,N,"OrderedDict([(u'129N', [1487605078L, 1487605078L]), (u'128N', [1487605138L, 1487605138L]), (u'127N', [1487605258L, 1487605258L]), (u'123N', [1487605498L, 1487605498L]), (u'120N', [1487605678L, 1487605678L]), (u'227N', [1487605918L, 1487605918L]), (u'226N', [1487605978L, 1487605978L]), (u'225N', [1487606068L, 1487606068L]), (u'224N', [1487606158L, 1487606158L]), (u'222N', [1487606338L, 1487606338L]), (u'221N', [1487606458L, 1487606458L]), (u'220N', [1487606578L, 1487606578L]), (u'219N', [1487606668L, 1487606668L]), (u'218N', [1487606728L, 1487606728L]), (u'217N', [1487606788L, 1487606788L]), (u'216N', [1487606878L, 1487606878L]), (u'215N', [1487606998L, 1487606998L]), (u'214N', [1487607118L, 1487607118L]), (u'213N', [1487607208L, 1487607208L]), (u'212N', [1487607328L, 1487607328L]), (u'211N', [1487607448L, 1487607448L]), (u'210N', [1487607568L, 1487607568L]), (u'209N', [1487607628L, 1487607628L]), (u'208N', [1487607718L, 1487607718L]), (u'207N', [1487607808L, 1487607808L]), (u'206N', [1487607898L, 1487607898L]), (u'205N', [1487607958L, 1487607958L]), (u'204N', [1487608048L, 1487608348L]), (u'201N', [1487608468L, 0])])",2,20170220,1487605044,1487605038
058500_2..S01X015,128S,2,S,"OrderedDict([(u'128S', [1487605062L, 1487605062L]), (u'129S', [1487605122L, 1487605122L]), (u'130S', [1487605182L, 1487605182L]), (u'131S', [1487605242L, 1487605242L]), (u'132S', [1487605302L, 1487605302L]), (u'133S', [1487605392L, 1487605392L]), (u'134S', [1487605482L, 1487605482L]), (u'135S', [1487605572L, 1487605572L]), (u'136S', [1487605632L, 1487605632L]), (u'137S', [1487605722L, 1487605722L]), (u'228S', [1487605782L, 1487605782L]), (u'229S', [1487605932L, 1487605932L]), (u'230S', [1487605992L, 1487605992L]), (u'231S', [1487606262L, 1487606262L]), (u'232S', [1487606322L, 1487606322L]), (u'233S', [1487606412L, 1487606412L]), (u'234S', [1487606472L, 1487606472L]), (u'235S', [1487606562L, 1487606562L]), (u'236S', [1487606622L, 1487606622L]), (u'237S', [1487606742L, 1487606742L]), (u'238S', [1487606832L, 1487606832L]), (u'239S', [1487606922L, 1487606922L]), (u'241S', [1487607102L, 1487607102L]), (u'242S', [1487607162L, 1487607162L]), (u'243S', [1487607252L, 1487607252L]), (u'244S', [1487607342L, 1487607642L]), (u'245S', [1487607732L, 1487607732L]), (u'246S', [1487607822L, 1487607822L]), (u'247S', [1487607942L, 0])])",2,20170220,1487605044,1487605037
059750_6..N01R,614N,2,N,"OrderedDict([(u'614N', [1487605120L, 1487605120L]), (u'613N', [1487605240L, 1487605240L]), (u'612N', [1487605330L, 1487605330L]), (u'611N', [1487605450L, 1487605450L]), (u'610N', [1487605510L, 1487605510L]), (u'609N', [1487605570L, 1487605570L]), (u'608N', [1487605660L, 1487605660L]), (u'607N', [1487605750L, 1487605750L]), (u'606N', [1487605810L, 1487605810L]), (u'604N', [1487605870L, 1487605870L]), (u'603N', [1487605960L, 1487605960L]), (u'602N', [1487606050L, 1487606050L]), (u'601N', [1487606200L, 0])])",6,20170220,1487605044,1487605030
065600_3..S01X017,None,None,S,"OrderedDict([(u'301S', [0, 1487606160L]), (u'302S', [1487606250L, 1487606250L]), (u'224S', [1487606370L, 1487606370L]), (u'225S', [1487606460L, 1487606460L]), (u'226S', [1487606550L, 1487606550L]), (u'227S', [1487606610L, 1487606610L]), (u'120S', [1487606880L, 1487606880L]), (u'123S', [1487607030L, 1487607030L]), (u'127S', [1487607300L, 1487607300L]), (u'128S', [1487607420L, 1487607420L]), (u'129S', [1487607480L, 1487607480L]), (u'130S', [1487607570L, 1487607570L]), (u'131S', [1487607630L, 1487607630L]), (u'132S', [1487607690L, 1487607690L]), (u'133S', [1487607780L, 1487607780L]), (u'134S', [1487607870L, 1487607870L]), (u'135S', [1487607960L, 1487607960L]), (u'136S', [1487608020L, 1487608020L]), (u'137S', [1487608080L, 1487608080L]), (u'228S', [1487608140L, 1487608140L]), (u'229S', [1487608290L, 1487608290L]), (u'230S', [1487608350L, 1487608350L]), (u'231S', [1487608620L, 1487608620L]), (u'232S', [1487608680L, 1487608680L]), (u'233S', [1487608770L, 1487608770L]), (u'234S', [1487608830L, 1487608830L]), (u'235S', [1487608920L, 1487608920L]), (u'236S', [1487608980L, 1487608980L]), (u'237S', [1487609100L, 1487609100L]), (u'238S', [1487609190L, 1487609190L]), (u'239S', [1487609280L, 1487609280L]), (u'248S', [1487609370L, 1487609370L]), (u'249S', [1487609460L, 1487609460L]), (u'250S', [1487609580L, 0])])",3,20170220,1487605044,None
060000_2..S01X015,224S,2,S,"OrderedDict([(u'224S', [1487605161L, 1487605161L]), (u'225S', [1487605251L, 1487605251L]), (u'226S', [1487605341L, 1487605341L]), (u'227S', [1487605401L, 1487605401L]), (u'120S', [1487605671L, 1487605671L]), (u'123S', [1487605821L, 1487605821L]), (u'127S', [1487606091L, 1487606091L]), (u'128S', [1487606211L, 1487606211L]), (u'129S', [1487606271L, 1487606271L]), (u'130S', [1487606331L, 1487606331L]), (u'131S', [1487606391L, 1487606391L]), (u'132S', [1487606451L, 1487606451L]), (u'133S', [1487606541L, 1487606541L]), (u'134S', [1487606631L, 1487606631L]), (u'135S', [1487606721L, 1487606721L]), (u'136S', [1487606781L, 1487606781L]), (u'137S', [1487606871L, 1487606871L]), (u'228S', [1487606931L, 1487606931L]), (u'229S', [1487607081L, 1487607081L]), (u'230S', [1487607141L, 1487607141L]), (u'231S', [1487607411L, 1487607411L]), (u'232S', [1487607471L, 1487607471L]), (u'233S', [1487607561L, 1487607561L]), (u'234S', [1487607621L, 1487607621L]), (u'235S', [1487607711L, 1487607711L]), (u'236S', [1487607771L, 1487607771L]), (u'237S', [1487607891L, 1487607891L]), (u'238S', [1487607981L, 1487607981L]), (u'239S', [1487608071L, 1487608071L]), (u'241S', [1487608251L, 1487608251L]), (u'242S', [1487608311L, 1487608311L]), (u'243S', [1487608401L, 1487608401L]), (u'244S', [1487608491L, 1487608791L]), (u'245S', [1487608881L, 1487608881L]), (u'246S', [1487608971L, 1487608971L]), (u'247S', [1487609091L, 0])])",2,20170220,1487605044,1487605033
055200_2..S01X015,235S,1,S,"OrderedDict([(u'235S', [1487605028L, 1487605028L]), (u'236S', [1487605088L, 1487605088L]), (u'237S', [1487605208L, 1487605208L]), (u'238S', [1487605298L, 1487605298L]), (u'239S', [1487605388L, 1487605388L]), (u'241S', [1487605568L, 1487605568L]), (u'242S', [1487605628L, 1487605628L]), (u'243S', [1487605718L, 1487605718L]), (u'244S', [1487605808L, 1487606108L]), (u'245S', [1487606198L, 1487606198L]), (u'246S', [1487606288L, 1487606288L]), (u'247S', [1487606408L, 0])])",2,20170220,1487605044,1487604998
066150_6..S01R,None,None,S,"OrderedDict([(u'601S', [0, 1487606490L]), (u'602S', [1487606640L, 1487606640L]), (u'603S', [1487606730L, 1487606730L]), (u'604S', [1487606820L, 1487606820L]), (u'606S', [1487606910L, 1487606910L]), (u'607S', [1487606970L, 1487606970L]), (u'608S', [1487607090L, 1487607090L]), (u'609S', [1487607180L, 1487607180L]), (u'610S', [1487607270L, 1487607270L]), (u'611S', [1487607330L, 1487607330L]), (u'612S', [1487607450L, 1487607450L]), (u'613S', [1487607570L, 1487607570L]), (u'614S', [1487607660L, 1487607660L]), (u'615S', [1487607780L, 1487607780L]), (u'616S', [1487607840L, 1487607840L]), (u'617S', [1487607960L, 1487607960L]), (u'618S', [1487608020L, 1487608020L]), (u'619S', [1487608110L, 1487608110L]), (u'621S', [1487608290L, 1487608290L]), (u'622S', [1487608380L, 1487608380L]), (u'623S', [1487608470L, 1487608470L]), (u'624S', [1487608530L, 1487608530L]), (u'625S', [1487608620L, 1487608620L]), (u'626S', [1487608740L, 1487608740L]), (u'627S', [1487608860L, 1487608860L]), (u'628S', [1487608980L, 1487608980L]), (u'629S', [1487609070L, 1487609070L]), (u'630S', [1487609190L, 1487609190L]), (u'631S', [1487609310L, 1487609310L]), (u'632S', [1487609430L, 1487609430L]), (u'633S', [1487609490L, 1487609490L]), (u'634S', [1487609550L, 1487609550L]), (u'635S', [1487609670L, 1487609670L]), (u'636S', [1487609730L, 1487609730L]), (u'637S', [1487609820L, 1487609820L]), (u'638S', [1487609880L, 1487609880L]), (u'639S', [1487609970L, 1487609970L]), (u'640S', [1487610090L, 0])])",6,20170220,1487605044,None
055950_2..N01X009,220N,1,N,"OrderedDict([(u'220N', [1487605053L, 1487605053L]), (u'219N', [1487605143L, 1487605143L]), (u'218N', [1487605203L, 1487605203L]), (u'217N', [1487605263L, 1487605263L]), (u'216N', [1487605353L, 1487605353L]), (u'215N', [1487605473L, 1487605473L]), (u'214N', [1487605593L, 1487605593L]), (u'213N', [1487605683L, 1487605683L]), (u'212N', [1487605803L, 1487605803L]), (u'211N', [1487605923L, 1487605923L]), (u'210N', [1487606043L, 1487606043L]), (u'209N', [1487606103L, 1487606103L]), (u'208N', [1487606193L, 1487606193L]), (u'207N', [1487606283L, 1487606283L]), (u'206N', [1487606373L, 1487606373L]), (u'205N', [1487606433L, 1487606433L]), (u'204N', [1487606523L, 1487606823L]), (u'201N', [1487606943L, 0])])",2,20170220,1487605044,1487605023
058000_4..N06R,407N,1,N,"OrderedDict([(u'407N', [1487605033L, 1487605033L]), (u'406N', [1487605093L, 1487605093L]), (u'405N', [1487605213L, 1487605213L]), (u'402N', [1487605303L, 1487605303L]), (u'401N', [1487605423L, 0])])",4,20170220,1487605044,1487605003
064900_1..S03X003,None,None,S,"OrderedDict([(u'115S', [0, 1487605740L]), (u'116S', [1487605830L, 1487605830L]), (u'117S', [1487605980L, 1487605980L]), (u'118S', [1487606040L, 1487606040L]), (u'119S', [1487606100L, 1487606100L]), (u'120S', [1487606220L, 1487606220L]), (u'121S', [1487606340L, 1487606340L]), (u'122S', [1487606400L, 1487606400L]), (u'123S', [1487606490L, 1487606490L]), (u'124S', [1487606580L, 1487606580L]), (u'125S', [1487606670L, 1487606670L]), (u'126S', [1487606790L, 1487606790L]), (u'127S', [1487606880L, 1487606880L]), (u'128S', [1487607060L, 1487607060L]), (u'132S', [1487607300L, 0])])",1,20170220,1487605044,None
060750_2..N01X009,229N,0,N,"OrderedDict([(u'229N', [1487605082L, 1487605082L]), (u'228N', [1487605232L, 1487605232L]), (u'137N', [1487605292L, 1487605292L]), (u'136N', [1487605382L, 1487605382L]), (u'135N', [1487605442L, 1487605442L]), (u'134N', [1487605532L, 1487605532L]), (u'133N', [1487605652L, 1487605652L]), (u'132N', [1487605742L, 1487605742L]), (u'131N', [1487605802L, 1487605802L]), (u'130N', [1487605862L, 1487605862L]), (u'129N', [1487605952L, 1487605952L]), (u'128N', [1487606012L, 1487606012L]), (u'127N', [1487606132L, 1487606132L]), (u'123N', [1487606372L, 1487606372L]), (u'120N', [1487606552L, 1487606552L]), (u'227N', [1487606792L, 1487606792L]), (u'226N', [1487606852L, 1487606852L]), (u'225N', [1487606942L, 1487606942L]), (u'224N', [1487607032L, 1487607032L]), (u'222N', [1487607212L, 1487607212L]), (u'221N', [1487607332L, 1487607332L]), (u'220N', [1487607452L, 1487607452L]), (u'219N', [1487607542L, 1487607542L]), (u'218N', [1487607602L, 1487607602L]), (u'217N', [1487607662L, 1487607662L]), (u'216N', [1487607752L, 1487607752L]), (u'215N', [1487607872L, 1487607872L]), (u'214N', [1487607992L, 1487607992L]), (u'213N', [1487608082L, 1487608082L]), (u'212N', [1487608202L, 1487608202L]), (u'211N', [1487608322L, 1487608322L]), (u'210N', [1487608442L, 1487608442L]), (u'209N', [1487608502L, 1487608502L]), (u'208N', [1487608592L, 1487608592L]), (u'207N', [1487608682L, 1487608682L]), (u'206N', [1487608772L, 1487608772L]), (u'205N', [1487608832L, 1487608832L]), (u'204N', [1487608922L, 1487609222L]), (u'201N', [1487609342L, 0])])",2,20170220,1487605044,1487605042
066000_4..N06R,None,None,N,"OrderedDict([(u'250N', [0, 1487606400L]), (u'239N', [1487606580L, 1487606580L]), (u'235N', [1487606820L, 1487606820L]), (u'234N', [1487606910L, 1487607030L]), (u'423N', [1487607120L, 1487607120L]), (u'420N', [1487607420L, 1487607420L]), (u'419N', [1487607480L, 1487607480L]), (u'418N', [1487607570L, 1487607570L]), (u'640N', [1487607660L, 1487607660L]), (u'635N', [1487607930L, 1487607930L]), (u'631N', [1487608170L, 1487608170L]), (u'629N', [1487608290L, 1487608290L]), (u'626N', [1487608500L, 1487608500L]), (u'621N', [1487608800L, 1487608800L]), (u'416N', [1487608950L, 1487608950L]), (u'415N', [1487609070L, 1487609070L]), (u'414N', [1487609220L, 1487609220L]), (u'413N', [1487609340L, 1487609340L]), (u'412N', [1487609430L, 1487609430L]), (u'411N', [1487609520L, 1487609520L]), (u'410N', [1487609580L, 1487609580L]), (u'409N', [1487609670L, 1487609670L]), (u'408N', [1487609760L, 1487609760L]), (u'407N', [1487609820L, 1487609820L]), (u'406N', [1487609880L, 1487609880L]), (u'405N', [1487610000L, 1487610000L]), (u'402N', [1487610090L, 1487610090L]), (u'401N', [1487610210L, 0])])",4,20170220,1487605044,None
